city_cn,city_en
潮州,Chaozhou
揭阳,Jieyang
云浮,Yunfu
南宁,Nanning
柳州,Liuzhou
桂林,Guilin
梧州,Wuzhou
北海,Beihai
崇左,Chongzuo
来宾,Laibin
贺州,Hezhou
玉林,Yùlin
百色,Baise
河池,Hechi
钦州,Qinzhou
防城港,Fangchenggang
贵港,Guigang
海口,Haikou
三亚,Sanya
三沙,Sansha
儋州,Danzhou
成都,Chengdu
绵阳,Mianyang
自贡,Zigong
攀枝花,Panzhihua
泸州,Luzhou
德阳,Deyang
广元,Guanyuan
遂宁,Suining
内江,Neijiang
乐山,Leshan
资阳,Ziyang
宜宾,Yibin
南充,Nanchong
达州,Dazhou
雅安,Yaan
广安,Guang'an
巴中,Bazhong
眉山,Meishan
贵阳,Guiyang
遵义,Zunyi
六盘水,Liupanshui
安顺,Anshun
毕节,Bijie
铜仁,Tongren
昆明,Kunming
曲靖,Qujing
玉溪,Yuxi
昭通,Zhaotong
保山,Baoshan
丽江,Lijiang
普洱,Puer
临沧,Lincang
拉萨,Lhasa
日喀则,Shigatse
昌都,Qamdo
林芝,Nyingchi
山南,Lhoka
那曲,Nagqu
西安,Xi'an
宝鸡,Baoji
咸阳,Xianyang
铜川,Tongchuan
渭南,Weinan
延安,Yan'an
榆林,Yúlin
汉中,Hanzhong
安康,Ankang
商洛,Shangluo
兰州,Lanzhou
嘉峪关,Jiayuguan
金昌,Jinchang
白银,Baiyin
天水,Tianshui
武威,Wuwei
张掖,Zhangye
平凉,Pingliang
酒泉,Jiuquan
庆阳,Qingyang
定西,Dingxi
陇南,Longnan
西宁,Xining
海东,Haidong
银川,Yinchuan
石嘴山,Shizuishan
吴忠,Wuzhong
固原,Guyuan
中卫,Zhongwei
乌鲁木齐,Urumqi
克拉玛依,Karamay
吐鲁番,Turpan
哈密,Hami
大兴安岭,Da Hinggan Ling
阿里,Ngari
阿克苏,Aksu
喀什,Kashgar
和田,Hotan
塔城,Tarbagatay
阿勒泰,Altay
